R,G,B,EX,LI,BF3,RF3,GF2
255,57.36,10.49,10000,R100,0.083333333,0.666666667,0.066666667
255,99.88,18.44,10000,R100,0.05,0.533333333,0.033333333
255,133.33,24.1,10000,R100,0.116666667,0.333333333,0.016666667
207.59,32.15,5.8,10000,R100,0.166666667,0.466666667,0.1
255,78.03,14.18,10000,R100,0.15,0.2,0.05
255,60.31,10.87,10000,R100,0.083333333,0.066666667,0.066666667
131.55,20.36,3.69,10000,R100,0.133333333,0.133333333,0.133333333
255,131.65,23.48,10000,R100,0.116666667,0.4,0.016666667
255,43.8,7.6,10000,R100,0.016666667,0.466666667,0.083333333
206.99,32.86,5.97,10000,R100,0.166666667,0.266666667,0.1
255,102.08,18.32,10000,R100,0.05,0.2,0.033333333
95.22,14.5,2.6,10000,R100,0.033333333,0.333333333,0.15
66.33,9.96,1.58,10000,R100,0.1,0.533333333,0.166666667
255,75.97,13.57,10000,R100,0.15,0.6,0.05
151.3,24.03,4.07,10000,R100,0.066666667,0.666666667,0.116666667
255,60.44,10.59,10000,R100,0.1,0.066666667,0.066666667
210.73,33.8,5.94,10000,R100,0.016666667,0.266666667,0.1
113.2,17.65,3.13,10000,R100,0.083333333,0.666666667,0.133333333
255,77.13,14.11,10000,R100,0.033333333,0.533333333,0.05
255,134.9,24.07,10000,R100,0.066666667,0.4,0.016666667
255,102.17,18.11,10000,R100,0.133333333,0.2,0.033333333
67.03,10.28,1.49,10000,R100,0.116666667,0.466666667,0.166666667
94,14.51,2.25,10000,R100,0.05,0.133333333,0.15
155.32,24.76,4.33,10000,R100,0.166666667,0.333333333,0.116666667
255,42.43,7.52,10000,R100,0.15,0.6,0.083333333
110.04,17,3.04,10000,R100,0.033333333,0.2,0.133333333
70.08,10.34,1.49,10000,R100,0.083333333,0.466666667,0.166666667
255,56.25,10.27,10000,R100,0.016666667,0.4,0.066666667
224.02,35.31,6.36,10000,R100,0.066666667,0.066666667,0.1
91.39,13.98,2.31,10000,R100,0.15,0.333333333,0.15
255,77.14,13.86,10000,R100,0.133333333,0.133333333,0.05
255,42.13,7.54,10000,R100,0.166666667,0.533333333,0.083333333
255,134.69,23.9,10000,R100,0.1,0.266666667,0.016666667
154.84,24.3,4.11,10000,R100,0.116666667,0.666666667,0.116666667
255,101.92,18.6,10000,R100,0.05,0.6,0.033333333
255,147.27,26.32,10000,R100,0.0143,0.05,0.0123
255,121.52,21.68,10000,R100,0.0286,0.1,0.0246
255,98.77,17.36,10000,R100,0.0429,0.15,0.0369
255,80.96,14.8,10000,R100,0.0572,0.2,0.0492
255,67.02,12.21,10000,R100,0.0715,0.25,0.0615
255,54.54,10.03,10000,R100,0.0858,0.3,0.0738
254.26,41.42,7.08,10000,R100,0.1001,0.35,0.0861
218.36,34.39,6.07,10000,R100,0.1144,0.4,0.0984
182.98,28.94,5.02,10000,R100,0.1287,0.45,0.1107
145.58,22.73,4.14,10000,R100,0.143,0.5,0.123
255,53.2,10.59,20000,R100,0.166666667,0.266666667,0.116666667
255,63.75,12.54,20000,R100,0.016666667,0.466666667,0.1
255,101.86,19.51,20000,R100,0.1,0.666666667,0.066666667
