R,G,B,EX,LI,3BF,3RF,2GF
239.9,255,255,80000,B100,0.033333333,0.2,0.05
126.2,255,255,80000,B100,0.066666667,0.333333333,0.016666667
133.51,255,255,80000,B100,0.083333333,0.133333333,0.15
21.42,86.48,242.5,80000,B100,0.133333333,0.4,0.166666667
21.16,85.82,204.95,80000,B100,0.15,0.533333333,0.033333333
255,255,255,80000,B100,0.016666667,0.333333333,0.116666667
22.43,119.52,222.66,80000,B100,0.033333333,0.6,0.083333333
4.4,24.7,46.34,80000,B100,0.1,0.666666667,0.133333333
23.14,88.66,254.36,80000,B100,0.166666667,0.4,0.066666667
255,255,255,80000,B100,0.05,0.133333333,0.05
16.3,70.93,158.34,80000,B100,0.133333333,0.533333333,0.033333333
19.61,91.97,217.89,80000,B100,0.066666667,0.466666667,0.166666667
127.23,255,255,80000,B100,0.083333333,0.266666667,0.016666667
253.85,255,255,80000,B100,0.116666667,0.066666667,0.1
57.57,185.39,255,80000,B100,0.15,0.2,0.15
209.87,255,255,80000,B100,0.1,0.066666667,0.116666667
57.34,251.78,255,80000,B100,0.016666667,0.4,0.133333333
58.3,220.94,255,80000,B100,0.066666667,0.266666667,0.166666667
255,255,255,80000,B100,0.033333333,0.133333333,0.083333333
5.89,28.3,65.19,80000,B100,0.133333333,0.6,0.15
11.32,56.46,101.99,80000,B100,0.083333333,0.666666667,0.066666667
41.25,191.82,255,80000,B100,0.05,0.533333333,0.033333333
73.06,255,255,80000,B100,0.116666667,0.333333333,0.016666667
13.78,56.17,156.79,80000,B100,0.166666667,0.466666667,0.1
51.56,170.04,255,80000,B100,0.15,0.2,0.05
255,255,255,80000,B100,0.083333333,0.066666667,0.066666667
108.36,255,255,80000,B100,0.133333333,0.133333333,0.133333333
49.43,192.61,255,80000,B100,0.116666667,0.4,0.016666667
55.52,254.84,255,80000,B100,0.016666667,0.466666667,0.083333333
45.18,150.66,255,80000,B100,0.166666667,0.266666667,0.1
227.63,255,255,80000,B100,0.05,0.2,0.033333333
66.62,255,255,80000,B100,0.033333333,0.333333333,0.15
11.92,55.33,132.22,80000,B100,0.1,0.533333333,0.166666667
12.57,51.54,120.69,80000,B100,0.15,0.6,0.05
8.68,48.01,92.14,80000,B100,0.066666667,0.666666667,0.116666667
255,255,255,80000,B100,0.1,0.066666667,0.066666667
135.09,255,255,80000,B100,0.016666667,0.266666667,0.1
7.24,40.16,79.98,80000,B100,0.083333333,0.666666667,0.133333333
39.24,193.04,255,80000,B100,0.033333333,0.533333333,0.05
75.64,255,255,80000,B100,0.066666667,0.4,0.016666667
115.68,255,255,80000,B100,0.133333333,0.2,0.033333333
11.88,52.71,135.22,80000,B100,0.116666667,0.466666667,0.166666667
164.34,255,255,80000,B100,0.05,0.133333333,0.15
26.65,97.06,255,80000,B100,0.166666667,0.333333333,0.116666667
8.06,36.17,85.44,80000,B100,0.15,0.6,0.083333333
125.21,255,255,80000,B100,0.033333333,0.2,0.133333333
17.42,79.48,195.05,80000,B100,0.083333333,0.466666667,0.166666667
80.26,255,255,80000,B100,0.016666667,0.4,0.066666667
255,255,255,80000,B100,0.066666667,0.066666667,0.1
27.15,99.01,255,80000,B100,0.15,0.333333333,0.15
159.2,255,255,80000,B100,0.133333333,0.133333333,0.05
11.14,46.84,120.35,80000,B100,0.166666667,0.533333333,0.083333333
